"Gene","FC_sup_2.5_D37","FC_sup_1.5_D37","FC_sup_2_4fois_D37","FC_inf_1.5_W37","FC_inf_1_4fois_W37","Significatif_diff","Associated","Reference","Associated_region","Condition","Passe_Filtre","L2","L3","L4","article"
"DRO_0219",0,2,FALSE,5,TRUE,3,FALSE,TRUE,"NOT",-2,FALSE,0,0,0,0
"DRO_0220",0,2,FALSE,4,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0221",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0222",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0223",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0224",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0225",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0226",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0227",0,4,FALSE,5,TRUE,4,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0228",0,0,FALSE,4,FALSE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0229",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0230",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0231",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0232",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0233",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0234",0,0,FALSE,5,TRUE,-1,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0235",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0236",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0237",0,2,FALSE,3,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0238",0,2,FALSE,3,FALSE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0239",0,1,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0240",0,0,FALSE,4,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0241",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
"DRO_0242",0,0,FALSE,5,TRUE,0,FALSE,FALSE,"NOT",-2,FALSE,0,0,0,0
